station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-02 06:00,M,M,210.00,5.00,M,M
AMW,2019-01-02 06:05,M,M,210.00,6.00,M,M
AMW,2019-01-02 06:10,M,M,210.00,6.00,M,M
AMW,2019-01-02 06:15,M,M,220.00,6.00,M,M
AMW,2019-01-02 06:20,M,M,220.00,7.00,M,M
AMW,2019-01-02 06:25,M,M,220.00,6.00,M,M
AMW,2019-01-02 06:30,M,M,220.00,6.00,M,M
AMW,2019-01-02 06:35,M,M,200.00,5.00,M,M
AMW,2019-01-02 06:40,M,M,210.00,7.00,M,M
AMW,2019-01-02 06:45,M,M,210.00,4.00,M,M
AMW,2019-01-02 06:50,M,M,210.00,6.00,M,M
AMW,2019-01-02 06:53,-9.39,79.84,220.00,7.00,1026.00,0.00
AMW,2019-01-02 06:55,M,M,220.00,7.00,M,M
AMW,2019-01-02 07:00,M,M,230.00,6.00,M,M
AMW,2019-01-02 07:05,M,M,220.00,6.00,M,M
AMW,2019-01-02 07:10,M,M,200.00,6.00,M,M
AMW,2019-01-02 07:15,M,M,200.00,7.00,M,M
AMW,2019-01-02 07:20,M,M,210.00,8.00,M,M
AMW,2019-01-02 07:25,M,M,200.00,8.00,M,M
AMW,2019-01-02 07:30,M,M,210.00,7.00,M,M
AMW,2019-01-02 07:40,M,M,200.00,7.00,M,M
AMW,2019-01-02 07:45,M,M,200.00,5.00,M,M
AMW,2019-01-02 07:50,M,M,200.00,7.00,M,M
AMW,2019-01-02 07:53,-8.89,76.77,200.00,5.00,1025.40,0.00
AMW,2019-01-02 08:05,M,M,190.00,6.00,M,M
AMW,2019-01-02 08:10,M,M,200.00,8.00,M,M
AMW,2019-01-02 08:15,M,M,220.00,9.00,M,M
AMW,2019-01-02 08:20,M,M,210.00,9.00,M,M
AMW,2019-01-02 08:25,M,M,200.00,7.00,M,M
AMW,2019-01-02 08:30,M,M,200.00,7.00,M,M
AMW,2019-01-02 08:35,M,M,200.00,8.00,M,M
AMW,2019-01-02 08:40,M,M,190.00,6.00,M,M
AMW,2019-01-02 08:45,M,M,210.00,7.00,M,M
